ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
229075_at	SPATA5	spermatogenesis associated 5	-1.103	3.671
229078_s_at	GPALPP1	GPALPP motifs containing 1	1.372	6.212
229082_at	CCDC125	coiled-coil domain containing 125	-2.222	5.411
229083_at	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	1.137	5.018
229084_at	CNTN4	contactin 4	1.448	3.523
229086_at	ZNF436-AS1	ZNF436 antisense RNA 1	1.978	7.258
229091_s_at	CCNJ	cyclin J	-1.25	4.003
229097_at	DIAPH3	diaphanous related formin 3	-2.201	10.082
229100_s_at	TIMM22	translocase of inner mitochondrial membrane 22 homolog (yeast)	2.086	8.652
229105_at	GPR39	G protein-coupled receptor 39	-1.481	3.542
229111_at			2.122	12.085
229115_at	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	-2.392	7.759
229119_s_at	ZSWIM7	zinc finger SWIM-type containing 7	-1.024	1.539
229125_at	KANK4	KN motif and ankyrin repeat domains 4	3.087	5.957
229127_at	JAM2	junctional adhesion molecule 2	3.125	13.243
229128_s_at	ANP32E	acidic nuclear phosphoprotein 32 family member E	-5.45	11.357
229129_at	HNRNPD	heterogeneous nuclear ribonucleoprotein D	1.41	4.142
229130_at			2.227	5.1
229140_at	ZNF579	zinc finger protein 579	1.123	7.288
229147_at	RASSF6	Ras association domain family member 6	1.606	2.269
229150_at			-1.369	1.675
229152_at	FDCSP	follicular dendritic cell secreted protein	2.633	3.117
229153_at	SLC7A6OS	solute carrier family 7 member 6 opposite strand	1.393	8.278
229156_s_at	PRKAG2-AS1	PRKAG2 antisense RNA 1	1.076	2.632
229158_at	WNK4	WNK lysine deficient protein kinase 4	1.082	4.319
229164_s_at	ABTB1	ankyrin repeat and BTB domain containing 1	1.715	13.66
229169_at	CFAP70	cilia and flagella associated protein 70	1.132	5.094
229170_s_at	CFAP70	cilia and flagella associated protein 70	2.741	6.832
229172_at	HSPA12B	heat shock protein family A (Hsp70) member 12B	3.143	12.927
229174_at	C3orf38	chromosome 3 open reading frame 38	-1.619	11.319
229177_at	C16orf89	chromosome 16 open reading frame 89	3.352	8.448
229181_s_at	HAUS2	HAUS augmin like complex subunit 2	-1.054	5.009
229187_at	LOC283788	FSHD region gene 1 pseudogene	2.052	11.551
229192_s_at	LOC101929597///TBCD	uncharacterized LOC101929597///tubulin folding cofactor D	-2.211	9.454
229193_at	LUC7L3	LUC7 like 3 pre-mRNA splicing factor	-2.319	5.437
229201_at	PAK3	p21 (RAC1) activated kinase 3	1.206	7.517
229204_at	HP1BP3	heterochromatin protein 1 binding protein 3	1.423	8.319
229215_at	ASCL2	achaete-scute family bHLH transcription factor 2	-1.946	4.458
229218_at	COL1A2	collagen type I alpha 2 chain	-1.305	2.872
229227_at	DICER1-AS1	DICER1 antisense RNA 1	2.1	13.972
229228_at	LOC401317///CREB5	uncharacterized LOC401317///cAMP responsive element binding protein 5	1.45	3.095
229247_at	FBLN7	fibulin 7	1.777	7.552
229253_at	THEM4	thioesterase superfamily member 4	1.845	6.299
229254_at	MFSD4A	major facilitator superfamily domain containing 4A	2.564	5.369
229256_at	PGM2L1	phosphoglucomutase 2 like 1	-3.7	10.592
229261_at	SOS1-IT1	SOS1 intronic transcript 1	-1.423	5.595
229265_at	SKI	SKI proto-oncogene	1.108	5.914
229268_at	OTULIN	OTU deubiquitinase with linear linkage specificity	-1.23	4.663
229271_x_at	COL11A1	collagen type XI alpha 1 chain	-2.345	4.519
229272_at	FNBP4	formin binding protein 4	-1.138	2.9
229274_at	GNAS	GNAS complex locus	-1.473	8.486
229276_at	IGSF9	immunoglobulin superfamily member 9	-2.378	7.845
229281_at	NPAS3	neuronal PAS domain protein 3	1.223	4.225
229287_at	PCNX1	pecanex homolog 1 (Drosophila)	2.495	13.439
229290_at	DAPL1	death associated protein like 1	1.117	4.364
229292_at	EPB41L5	erythrocyte membrane protein band 4.1 like 5	-2.007	5.542
229302_at	TMEM178A	transmembrane protein 178A	2.039	4
229304_s_at	CENPU	centromere protein U	-1.276	2.922
229305_at	CENPU	centromere protein U	-1.752	2.86
229307_at	ANKRD28	ankyrin repeat domain 28	-1.591	6.666
229308_at	ANKRD29	ankyrin repeat domain 29	3.212	15.993
229309_at	ADRB1	adrenoceptor beta 1	2.498	5.374
229310_at	KLHL29	kelch like family member 29	4.141	17.28
229315_at			1.165	10.367
229318_at	NUTM2B-AS1	NUTM2B antisense RNA 1	-1.072	3.043
229319_at			1.458	6.554
229322_at	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	-1.169	7.385
229327_s_at	MAF	MAF bZIP transcription factor	-1.036	1.663
229331_at	SPATA18	spermatogenesis associated 18	2.33	8.907
229334_at	RUFY3	RUN and FYVE domain containing 3	-3.135	11.217
229350_x_at	PARP10	poly(ADP-ribose) polymerase family member 10	1.032	2.613
229357_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	4.334	13.212
229366_at			-1.18	5.33
229375_at	PPIE	peptidylprolyl isomerase E	1.09	10.219
229377_at	GRTP1	growth hormone regulated TBC protein 1	-1.564	6.865
229378_at	STOX1	storkhead box 1	1.066	8.972
229384_at			1.501	5.15
229385_s_at	TINCR	tissue differentiation-inducing non-protein coding RNA	-2.581	3.781
229388_at			1.098	6.306
229391_s_at	FAM26F	family with sequence similarity 26 member F	-1.725	3.418
229396_at	OVOL1	ovo like transcriptional repressor 1	-1.49	5.318
229400_at	HOXD10	homeobox D10	1.441	6.786
229404_at	TWIST2	twist family bHLH transcription factor 2	2.072	5.611
229418_at	FAM222B	family with sequence similarity 222 member B	-1.466	3.161
229420_at	LOC101243545///SNORD4A	"uncharacterized LOC101243545///small nucleolar RNA, C/D box 4A"	1.649	7.731
229422_at	NRDC	nardilysin convertase	-1.111	3.606
229427_at	SEMA5A	semaphorin 5A	1.014	2.669
229428_at	TIMM23B	translocase of inner mitochondrial membrane 23 homolog B	-2.377	8.401
229433_at	RBM26	RNA binding motif protein 26	-1.412	7.591
229437_at	MIR155///MIR155HG	microRNA 155///MIR155 host gene	-1.624	2.738
229442_at	C18orf54	chromosome 18 open reading frame 54	1.438	3.85
229450_at	IFIT3	interferon induced protein with tetratricopeptide repeats 3	-1.959	2.468
229453_at	PDIA3	protein disulfide isomerase family A member 3	-1.713	5.765
229460_at	FAM126B	family with sequence similarity 126 member B	-1.271	3.867
229466_at	TRIM66	tripartite motif containing 66	1.592	10.418
229476_s_at	THRSP	thyroid hormone responsive	4.591	5.151
229477_at	THRSP	thyroid hormone responsive	2.728	2.557
229479_at			-4.477	10.088
229480_at	MAGI2-AS3	MAGI2 antisense RNA 3	2.425	10.89
229487_at	EBF1	early B-cell factor 1	3.442	12.546
229490_s_at			-4.058	19.28
229492_at	VANGL1	VANGL planar cell polarity protein 1	-1.29	5.161
229497_at	ANKDD1A	ankyrin repeat and death domain containing 1A	1.996	9.775
229499_at	CAPN13	calpain 13	-2.063	3.234
229509_at	MFSD8	major facilitator superfamily domain containing 8	-1.151	4.481
229512_at	FAM120C	family with sequence similarity 120C	1.276	2.943
229518_at	FAM46B	family with sequence similarity 46 member B	1.448	3.747
229521_at	CCDC71L	coiled-coil domain containing 71-like	-1.748	5.609
229530_at	GUCY1A3	guanylate cyclase 1 soluble subunit alpha	1.131	2.863
229531_at			1.782	9.179
229532_at	ZNF502	zinc finger protein 502	1.442	8.365
229534_at	ACOT4	acyl-CoA thioesterase 4	-1.256	2.23
229538_s_at	IQGAP3	IQ motif containing GTPase activating protein 3	-2.793	14.502
229547_s_at	WNK2	WNK lysine deficient protein kinase 2	1.032	7.432
229551_x_at	ZNF367	zinc finger protein 367	-2.034	10.587
229553_at	PGM2L1	phosphoglucomutase 2 like 1	-3.384	11.908
229554_at	LUM	lumican	-1.214	2.135
229558_at	KNOP1	lysine rich nucleolar protein 1	-1.553	8.439
229560_at	TLR8	toll like receptor 8	-1.373	1.875
229568_at	MOB3B	MOB kinase activator 3B	1.89	6.02
229569_at			2.917	9.17
229580_at	CLSTN2	calsyntenin 2	4.085	7.231
229589_x_at	BIVM	"basic, immunoglobulin-like variable motif containing"	1.648	9.118
229590_at	SNORD68///RPL13	"small nucleolar RNA, C/D box 68///ribosomal protein L13"	3.141	11.635
229593_at	H2AFY	H2A histone family member Y	-1.634	7.234
229606_at			-2.094	6.049
229615_at	SLX4IP	SLX4 interacting protein	-1.028	5.658
229625_at	GBP5	guanylate binding protein 5	-2.545	4.371
229628_s_at	CCDC180///LOC100499484-C9ORF174	coiled-coil domain containing 180///LOC100499484-C9orf174 readthrough	1.254	9.594
229635_at	LINC01094	long intergenic non-protein coding RNA 1094	-1.647	4.901
229636_at	CYB561D2	cytochrome b561 family member D2	1.48	10.466
229641_at	CCBE1	collagen and calcium binding EGF domains 1	1.767	5.473
229648_at	ARHGAP32	Rho GTPase activating protein 32	-1.422	3.69
229649_at	NRXN3	neurexin 3	1.245	2.007
229650_s_at	SMIM7	small integral membrane protein 7	-2.182	7.869
229657_at	THRB	thyroid hormone receptor beta	1.794	7.179
229659_s_at			5.004	9.798
229661_at	SALL4	spalt like transcription factor 4	-1.144	2.288
229666_s_at	CSTF3	cleavage stimulation factor subunit 3	-1.433	5.748
229670_at			1.216	2.211
229674_at	SERTAD4	SERTA domain containing 4	-1.737	4.173
229676_at	MTPAP	mitochondrial poly(A) polymerase	-3.898	8.446
229679_at	LOC101060443///C12orf76	uncharacterized LOC101060443///chromosome 12 open reading frame 76	1.036	4.752
229687_s_at	PRDM11	PR/SET domain 11	1.17	12.473
229689_s_at			-1.086	4.103
229699_at	LOC100129550	uncharacterized LOC100129550	1.782	7.723
229704_at			-1.108	2.133
229705_at	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	1.517	8.999
229706_at	TCERG1	transcription elongation regulator 1	-1.015	2.384
229713_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	-4.545	15.42
229720_at	BAG1	BCL2 associated athanogene 1	-1.802	3.393
229733_s_at			-2.354	4.522
229748_x_at	LOC100233156///TEKT4P2///MAFIP	tektin 4 pseudogene///tektin 4 pseudogene 2///MAFF interacting protein (pseudogene)	1.686	4.337
229754_at	TMEM44-AS1	TMEM44 antisense RNA 1	1.56	7.704
229764_at	TPRG1	tumor protein p63 regulated 1	1.739	1.96
229765_at	ZNF207	zinc finger protein 207	-1.713	5.033
229773_at	SNAP23	synaptosome associated protein 23	-1.523	7.233
229778_at	SPX	spexin hormone	2.027	2.763
229787_s_at	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	-1.063	3.83
229797_at	MCOLN3	mucolipin 3	2.013	6.628
229800_at	DCLK1	doublecortin like kinase 1	3.366	7.803
229801_at	PROSER2	proline and serine rich 2	-1.165	3.291
229802_at	WISP1	WNT1 inducible signaling pathway protein 1	-4.526	13.984
229803_s_at	RPS10-NUDT3///NUDT3	RPS10-NUDT3 readthrough///nudix hydrolase 3	-3.414	9.927
229812_at	USP48	ubiquitin specific peptidase 48	-1.193	3.68
229820_at	LINC00969	long intergenic non-protein coding RNA 969	1.293	5.52
229821_at	LRRC37A4P	"leucine rich repeat containing 37 member A4, pseudogene"	1.119	4.371
229835_s_at	PRELID3B	PRELI domain containing 3B	-1.866	6.732
229839_at	SCARA5	scavenger receptor class A member 5	7.127	27.647
229841_at			-1.901	10.113
229844_at	FOXP1	forkhead box P1	1.149	5.172
229845_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	-1.319	4.665
229846_s_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	-3.373	14.172
229849_at	WIPF3	WAS/WASL interacting protein family member 3	1.121	2.067
229854_at	OBSCN	"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"	1.695	6.585
229858_at			-1.534	5.675
229863_s_at	ELP6	elongator acetyltransferase complex subunit 6	-1.332	6.47
229869_at			1.123	5.409
229872_s_at	LOC100996740	uncharacterized LOC100996740	1.313	3.109
229890_at	LOC100507547///PRRT1	uncharacterized LOC100507547///proline rich transmembrane protein 1	1.251	16.058
229893_at	FRMD3	FERM domain containing 3	1.755	5.365
229898_at	SNX33	sorting nexin 33	1.757	13.726
229899_s_at	ZFAS1	ZNFX1 antisense RNA 1	-1.834	7.313
229905_at	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	-2.836	11.164
229910_at	SHE	Src homology 2 domain containing E	2.679	9.663
229930_at	LINC01315	long intergenic non-protein coding RNA 1315	1.747	4.579
229937_x_at			-1.88	5.073
229947_at	PI15	peptidase inhibitor 15	5.22	8.183
229948_at			1.339	5.57
229951_x_at			1.81	11.749
229954_at	CHDH	choline dehydrogenase	1.253	3.079
229957_at	TMEM91	transmembrane protein 91	1.543	8.509
229964_at	C9orf152	chromosome 9 open reading frame 152	-2.261	3.283
229982_at	QSER1	glutamine and serine rich 1	-1.165	5.543
229985_at	BTNL9	butyrophilin like 9	5.653	13.391
229997_at	VANGL1	VANGL planar cell polarity protein 1	-1.506	9.372
230000_at	RNF213	ring finger protein 213	-1.59	5.212
230003_at	SLC16A7	solute carrier family 16 member 7	3.586	11.708
230006_s_at	SVIP	small VCP interacting protein	-1.029	2.871
230023_at	NSUN4	NOP2/Sun RNA methyltransferase family member 4	-2.6	8.75
230028_at	KIAA0907	KIAA0907	-2.969	16.262
230054_at	LOC100507547///PRRT1	uncharacterized LOC100507547///proline rich transmembrane protein 1	1.129	9.165
230058_at	SDCCAG3	serologically defined colon cancer antigen 3	-1.561	7.537
230061_at	TM4SF18	transmembrane 4 L six family member 18	3.362	11.211
230064_at			1.896	6.68
230078_at	RAPGEF6	Rap guanine nucleotide exchange factor 6	-1.284	4.64
230085_at	PDK3	pyruvate dehydrogenase kinase 3	-1.306	3.358
230087_at	PRIMA1	proline rich membrane anchor 1	2.639	7.877
230097_at	GART	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"	-1.424	5.905
230098_at	PHF20L1	PHD finger protein 20-like 1	-1.193	2.685
230102_at	ETV5	ETS variant 5	2.452	6.613
230104_s_at	TPPP	tubulin polymerization promoting protein	1.237	2.637
230109_at	PDE7B	phosphodiesterase 7B	2.846	7.959
230110_at	MCOLN2	mucolipin 2	-1.246	2.1
230139_at			1.005	6.083
230142_s_at	CIRBP	cold inducible RNA binding protein	1.312	3.7
230148_at	AHSA2	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"	1.061	8.368
230158_at	DPY19L2	dpy-19 like 2	1.558	13.833
230163_at	GFRA1	GDNF family receptor alpha 1	1.574	3.496
230165_at	SGO2	shugoshin 2	-2.439	10.818
230166_at	KIAA1958	KIAA1958	-1.108	2.509
230169_at	THAP6	THAP domain containing 6	1.044	7.161
230172_at	IFI27L1	interferon alpha inducible protein 27 like 1	1.054	7.835
230178_s_at	ELP2	elongator acetyltransferase complex subunit 2	2.249	9.941
230180_at	DDX17	DEAD-box helicase 17	1.042	3.149
230187_s_at	LOC102724851	uncharacterized LOC102724851	1.992	5.95
230206_at	DOCK5	dedicator of cytokinesis 5	-1.381	5.421
230207_s_at	DOCK5	dedicator of cytokinesis 5	-1.187	5.246
230218_at	HIC1	hypermethylated in cancer 1	1.235	5.415
230229_at	DLG1	discs large MAGUK scaffold protein 1	-1.519	8.858
230233_at			-2.485	7.637
230245_s_at	LINC00926	long intergenic non-protein coding RNA 926	1.339	6.534
230250_at	PTPRB	"protein tyrosine phosphatase, receptor type B"	2.121	4.481
230256_at	RUSC1-AS1	RUSC1 antisense RNA 1	-2.638	8.459
230263_s_at	DOCK5	dedicator of cytokinesis 5	-1.354	3.549
230265_at			-1.644	7.631
230266_at	RAB7B	"RAB7B, member RAS oncogene family"	1.256	2.746
230269_at	B3GALT5	"beta-1,3-galactosyltransferase 5"	1.853	3.542
230276_at	FAM49A	family with sequence similarity 49 member A	1.159	8.415
230285_at	SVIP	small VCP interacting protein	-1.956	4.882
230292_at	LOC100996412	uncharacterized LOC100996412	2.01	6.835
230309_at	BHMT2	betaine--homocysteine S-methyltransferase 2	2.024	7.306
230312_at			1.782	3.909
230320_at	TBRG1	transforming growth factor beta regulator 1	1.767	9.142
230323_s_at	TMEM45B	transmembrane protein 45B	-3.839	6.578
230329_s_at	NUDT6	nudix hydrolase 6	1.117	3.14
230333_at			-4.523	10.039
230336_at			1.031	9.14
230337_at	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	-1.625	4.807
230350_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	1.082	5.209
230352_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	-2.257	9.99
230360_at	GLDN	gliomedin	2.276	5.066
230368_at	ERF	ETS2 repressor factor	1.038	5.773
230378_at	SCGB3A1	secretoglobin family 3A member 1	4.506	4.233
230391_at	CD84	CD84 molecule	-1.768	2.939
230398_at	TNS4	tensin 4	1.717	3.235
230403_at	RFX3	regulatory factor X3	1.519	5.786
230408_at	PCGF3	polycomb group ring finger 3	1.252	6.792
230417_at	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	3.422	23.004
230418_s_at	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	6.521	26.648
230422_at	FPR3	formyl peptide receptor 3	-4.269	9.854
230425_at	EPHB1	EPH receptor B1	1.97	10.024
230426_at	DLD	dihydrolipoamide dehydrogenase	-1.218	6.487
230435_at	FAM228B	family with sequence similarity 228 member B	2.549	9.379
230438_at	TBX15	T-box 15	1.954	10.6
230446_at	LOC101927811	uncharacterized LOC101927811	1.631	8.082
230448_at	SLC38A10	solute carrier family 38 member 10	-1.346	3.546
230449_x_at			1.204	5.327
230454_at	ICA1L	islet cell autoantigen 1 like	1.471	10.04
230456_at			1.644	11.894
230461_s_at	MUM1	melanoma associated antigen (mutated) 1	-2.015	10.799
230466_s_at	RASSF3	Ras association domain family member 3	-1.112	2.942
230472_at	IRX1	iroquois homeobox 1	6.886	21.362
230479_at	EIF3F	eukaryotic translation initiation factor 3 subunit F	1.538	7.586
230492_s_at	GPCPD1	glycerophosphocholine phosphodiesterase 1	-3.139	9.729
230494_at	SLC20A1	solute carrier family 20 member 1	-2.419	10.088
230509_at	SNX22	sorting nexin 22	1.403	9.106
230529_at	HECA	"hdc homolog, cell cycle regulator"	1.211	5.705
230532_at	CXorf38	chromosome X open reading frame 38	-1.425	7.515
230533_at	ZMYND8	zinc finger MYND-type containing 8	-1.1	3.79
230543_at	USP9X	"ubiquitin specific peptidase 9, X-linked"	-1.09	3.124
230556_at	IMMP1L	inner mitochondrial membrane peptidase subunit 1	-1.271	5.012
230566_at	MORC2-AS1	MORC2 antisense RNA 1	-1.576	5.125
230578_at	ZNF471	zinc finger protein 471	2.411	13.33
230593_at	GRIK3	glutamate ionotropic receptor kainate type subunit 3	1.023	3.796
230595_at	PGM5-AS1	PGM5 antisense RNA 1	3.728	13.902
230599_at			-2.482	8.484
230605_at			1.132	5.505
230618_s_at			-3.168	14.359
230619_at	ARNT	aryl hydrocarbon receptor nuclear translocator	1.515	4.724
230621_at	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog	-1.454	7.608
230624_at	SLC25A27	solute carrier family 25 member 27	3.667	17.819
230641_at	LOC100505938	uncharacterized LOC100505938	1.03	2.233
230645_at	FRMD3	FERM domain containing 3	1.621	2.797
230651_at			-1.317	4.915
230656_s_at	UTP4	"UTP4, small subunit processome component"	-3.001	7.727
230659_at			-2.597	8.354
230660_at	SERTAD4	SERTA domain containing 4	-1.123	2.891
230670_at	IGSF10	immunoglobulin superfamily member 10	2.501	10.582
230700_at	RTN4RL1	reticulon 4 receptor like 1	1.015	2.04
230703_at			-1.84	8.025
230707_at	SORL1	sortilin related receptor 1	-1.622	4.309
230737_s_at	SVIL-AS1///PTCHD3P1	SVIL antisense RNA 1///patched domain containing 3 pseudogene 1	1.509	8.059
230744_at	FSTL1	follistatin like 1	1.694	5.318
230746_s_at			-3.298	6.72
230748_at	SLC16A6	solute carrier family 16 member 6	-1.711	2.228
230757_at			1.948	10.144
230766_at	GART	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"	-1.442	4.121
230788_at	GCNT2	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"	1.379	2.178
230790_x_at	FOXN3	forkhead box N3	2.74	15.98
230791_at			2.448	6.053
230793_at	CARMIL1	capping protein regulator and myosin 1 linker 1	-3.847	13.29
230795_at			-3.238	7.282
230800_at	ADCY4	adenylate cyclase 4	2.991	13.541
230815_at	LOC389765	kinesin family member 27 pseudogene	1.002	3.235
230821_at	ZNF148	zinc finger protein 148	1.589	7.933
230863_at	LRP2	LDL receptor related protein 2	4.491	12.47
230867_at	COL6A6	collagen type VI alpha 6 chain	5.7	17.709
230868_at			-1.007	5.515
230873_at	TTLL3	tubulin tyrosine ligase like 3	1.069	7.01
230884_s_at	LOC101930112///SPG7	"uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit"	-2.464	9
230903_s_at	TDRP	testis development related protein	1.472	5.158
230906_at	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	-3.971	11.655
230908_at	TACR1	tachykinin receptor 1	1.179	3.364
230922_x_at	FUNDC2	FUN14 domain containing 2	2.343	13.915
230926_s_at	ODF2L	outer dense fiber of sperm tails 2 like	-1.318	5.433
230959_at			3.688	22.389
230962_at	DCLK1	doublecortin like kinase 1	2.043	11.121
230966_at	IL4I1	interleukin 4 induced 1	-2.105	5.239
230970_at			-3.024	7.816
230974_at	DDX19B	DEAD-box helicase 19B	1.167	7.249
230987_at			1.093	4.032
230992_at	BTNL9	butyrophilin like 9	3.374	9.677
231013_at			3.242	14.012
231015_at	KLF15	Kruppel like factor 15	2.166	11.808
231017_at	STK11	serine/threonine kinase 11	1.675	9.216
231024_at	PGM5-AS1	PGM5 antisense RNA 1	3.444	13.554
231031_at	FGF7P3	fibroblast growth factor 7 pseudogene 3	2.686	16.583
231034_s_at	NHSL1	NHS like 1	-1.555	2.92
231050_at	HRASLS5	HRAS like suppressor family member 5	2.094	3.485
231057_at			1.553	6.992
231084_at	CFAP43	cilia and flagella associated protein 43	1.005	10.297
231090_s_at	ARID2	AT-rich interaction domain 2	-1.559	8.49
231098_at			-1.015	1.537
231108_at	FUS	FUS RNA binding protein	-1.067	3.044
231116_at			1.296	6.02
231118_at	ANKRD35	ankyrin repeat domain 35	3.993	21.016
231136_at			1.273	2.199
231145_at	PAX9	paired box 9	-1.611	2.443
231183_s_at	JAG1	jagged 1	2.081	6.792
231192_at	LPAR3	lysophosphatidic acid receptor 3	-1.805	2.003
231202_at	ALDH1L2	aldehyde dehydrogenase 1 family member L2	-1.156	2.099
231205_at			-1.883	8.104
231233_at	PCAT6	prostate cancer associated transcript 6 (non-protein coding)	-1.285	4.449
231235_at	NKTR	natural killer cell triggering receptor	-1.071	4.316
231240_at	DIO2	"deiodinase, iodothyronine, type II"	-3.949	6.549
231251_at	WIPF2	WAS/WASL interacting protein family member 2	-2.007	1.701
231269_at	ASCC3	activating signal cointegrator 1 complex subunit 3	-1.885	9.138
231274_s_at			-2.682	5.736
231280_at	HEBP2	heme binding protein 2	1.072	7.418
231283_at	MGAT4A	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"	-2.667	8.396
231311_at			-1.89	4.79
231317_at	TSNARE1	t-SNARE domain containing 1	1.051	10.489
231329_at			1.643	4.923
231370_at	PPM1A	"protein phosphatase, Mg2+/Mn2+ dependent 1A"	-2.439	11.054
231411_at	LHFP	lipoma HMGIC fusion partner	1.804	7.843
231513_at			-1.547	4.689
231517_at	ZYG11A	"zyg-11 family member A, cell cycle regulator"	-1.927	3.224
231530_s_at	C11orf1	chromosome 11 open reading frame 1	-1.341	2.825
231535_x_at	ROPN1	rhophilin associated tail protein 1	4.054	8.378
231576_at			-1.931	4.544
231577_s_at	GBP1	guanylate binding protein 1	-1.613	3.029
231597_x_at			5.94	19.147
231697_s_at	MIR21///VMP1	microRNA 21///vacuole membrane protein 1	-2.424	10.614
231715_s_at	MIR6741///PYCR2	microRNA 6741///pyrroline-5-carboxylate reductase family member 2	-1.902	11.053
231725_at	PCDHB2	protocadherin beta 2	-2.399	3.413
231727_s_at	MIF4GD	MIF4G domain containing	-2.308	6.673
231728_at	CAPS	calcyphosine	-1.592	2.985
231729_s_at	CAPS	calcyphosine	-1.034	1.917
231736_x_at	MGST1	microsomal glutathione S-transferase 1	-1.757	4.044
231766_s_at	COL12A1	collagen type XII alpha 1 chain	-6.299	17.504
231769_at	FBXO6	F-box protein 6	-3.147	6.695
231773_at	ANGPTL1	angiopoietin like 1	2.836	13.09
231784_s_at	DCAF13	DDB1 and CUL4 associated factor 13	-1.959	8.846
231810_at	THRIL///BRI3BP	TNF and HNRNPL related immunoregulatory long non-coding RNA///BRI3 binding protein	-2.076	6.898
231815_at	PHF12	PHD finger protein 12	-1.222	2.544
231821_x_at	LOC729218///GTF2IP20///LINC01061	uncharacterized LOC729218///general transcription factor IIi pseudogene 20///long intergenic non-protein coding RNA 1061	1.285	5.388
231829_at	MAVS	mitochondrial antiviral signaling protein	-1.735	4.445
231838_at	PABPC1L	poly(A) binding protein cytoplasmic 1 like	1.268	3.263
231843_at	DDX55	DEAD-box helicase 55	-1.415	6.08
231844_at	MGC27345///RBM28	uncharacterized protein MGC27345///RNA binding motif protein 28	1.065	8.327
231851_at	RAVER2	"ribonucleoprotein, PTB binding 2"	1.532	3.886
231856_at	ARFGEF3	ARFGEF family member 3	-2.498	5.909
231859_at	C14orf132	chromosome 14 open reading frame 132	1.273	2.128
231862_at	CBX5	chromobox 5	-2.605	10.614
231866_at	LNPEP	leucyl and cystinyl aminopeptidase	-1.472	3.491
231867_at	TENM2	teneurin transmembrane protein 2	2.776	7.941
231873_at	BMPR2	bone morphogenetic protein receptor type 2	-2.2	8.346
231879_at	COL12A1	collagen type XII alpha 1 chain	-5.757	16.131
231882_at			1.191	2.017
231896_s_at	DENR	density regulated re-initiation and release factor	-1.232	7.063
231899_at	ZC3H12C	zinc finger CCCH-type containing 12C	1.478	2.725
231906_at	HOXD8	homeobox D8	2.284	7.111
231907_at	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	-1.812	8.82
231913_s_at	BRCC3	BRCA1/BRCA2-containing complex subunit 3	-1.714	8.62
231918_s_at	GFM2	G elongation factor mitochondrial 2	-1.908	5.482
231919_at	DBT	dihydrolipoamide branched chain transacylase E2	1.328	4.982
231936_at	HOXC9	homeobox C9	-1.446	3.291
231937_at			1.013	4.287
231944_at	ERO1B	endoplasmic reticulum oxidoreductase 1 beta	1.773	5.212
231947_at	MYCT1	myc target 1	1.824	8.35
231948_s_at	UBE2F	ubiquitin conjugating enzyme E2 F (putative)	-1.672	10.373
231950_at	ZNF658	zinc finger protein 658	1.082	4.102
231955_s_at	HIBADH	3-hydroxyisobutyrate dehydrogenase	-1.831	5.456
231956_at	RNF213	ring finger protein 213	-3.542	11.023
231969_at	STOX2	storkhead box 2	3.753	9.645
231975_s_at	MIER3	MIER family member 3	-1.09	4.369
231981_at	PRLR	prolactin receptor	-1.486	3.344
231987_at	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	1.666	6.05
231988_x_at	ZNF490	zinc finger protein 490	1.238	8.579
231991_at	CCM2L	CCM2 like scaffolding protein	2.81	8.135
231993_at	ITGBL1	integrin subunit beta like 1	1.037	2.77
231994_at	CHDH	choline dehydrogenase	1.127	9.609
232004_at	HNRNPR	heterogeneous nuclear ribonucleoprotein R	1.458	6.447
232020_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	-1.321	3.639
