ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
219201_s_at	TWSG1	twisted gastrulation BMP signaling modulator 1	-1.743	7.542
219202_at	RHBDF2	rhomboid 5 homolog 2	-1.089	4.588
219203_at	EMC9	ER membrane protein complex subunit 9	-1.411	6.792
219207_at	EDC3	enhancer of mRNA decapping 3	-1.102	4.633
219209_at	IFIH1	interferon induced with helicase C domain 1	-1.56	3.262
219211_at	USP18	ubiquitin specific peptidase 18	-2.009	5.24
219212_at	HSPA14	heat shock protein family A (Hsp70) member 14	-1.859	9.549
219213_at	JAM2	junctional adhesion molecule 2	4.063	14.11
219215_s_at	SLC39A4	solute carrier family 39 member 4	-2.352	5.252
219217_at	NARS2	"asparaginyl-tRNA synthetase 2, mitochondrial (putative)"	-1.594	7.463
219221_at	ZBTB38	zinc finger and BTB domain containing 38	-2.164	8.362
219226_at	CDK12	cyclin dependent kinase 12	-2.47	4.637
219229_at	SLCO3A1	solute carrier organic anion transporter family member 3A1	2.321	6.998
219230_at	TMEM100	transmembrane protein 100	4.303	15.085
219232_s_at	EGLN3	egl-9 family hypoxia inducible factor 3	-2.908	4.542
219233_s_at	GSDMB	gasdermin B	-2.067	2.171
219235_s_at	PHACTR4	phosphatase and actin regulator 4	-1.007	3.642
219237_s_at	DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	-1.286	7.012
219239_s_at	ZNF654	zinc finger protein 654	-1.395	5.204
219247_s_at	ZDHHC14	zinc finger DHHC-type containing 14	1.188	5.821
219253_at	TMEM185B	transmembrane protein 185B	-2.604	9.523
219256_s_at	SH3TC1	SH3 domain and tetratricopeptide repeats 1	-1.462	7.042
219258_at	TIPIN	TIMELESS interacting protein	-1.449	3.949
219260_s_at	ELP5	elongator acetyltransferase complex subunit 5	-1.201	1.808
219267_at	GLTP	glycolipid transfer protein	-1.559	6.318
219268_at	ETNK2	ethanolamine kinase 2	-1.392	2.431
219271_at	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	-1.73	3.082
219276_x_at	CAAP1	caspase activity and apoptosis inhibitor 1	-1.423	4.149
219279_at	DOCK10	dedicator of cytokinesis 10	-1.289	3.364
219281_at	MSRA	methionine sulfoxide reductase A	1.707	5.389
219283_at	C1GALT1C1	C1GALT1 specific chaperone 1	-1.165	6.223
219288_at	C3orf14	chromosome 3 open reading frame 14	-2.583	10.304
219289_at	HEATR3	HEAT repeat containing 3	-1.405	9.257
219295_s_at	PCOLCE2	procollagen C-endopeptidase enhancer 2	4.993	9.858
219296_at	ZDHHC13	zinc finger DHHC-type containing 13	-1.444	6.783
219298_at	ECHDC3	enoyl-CoA hydratase domain containing 3	1.898	3.491
219300_s_at	CNTNAP2	contactin associated protein-like 2	-3.955	7.613
219301_s_at	CNTNAP2	contactin associated protein-like 2	-1.589	3.166
219304_s_at	PDGFD	platelet derived growth factor D	4.207	10.024
219305_x_at	FBXO2	F-box protein 2	1.916	6.917
219306_at	KIF15	kinesin family member 15	-2.854	6.741
219308_s_at	AK5	adenylate kinase 5	3.274	12.68
219311_at	CEP76	centrosomal protein 76	-1.952	8.162
219312_s_at	ZBTB10	zinc finger and BTB domain containing 10	-1.362	3.814
219313_at	GRAMD1C	GRAM domain containing 1C	2.358	7.871
219326_s_at	B3GNT2	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	-3.752	15.898
219330_at	VANGL1	VANGL planar cell polarity protein 1	-2.386	9.899
219338_s_at	LRRC49	leucine rich repeat containing 49	1.04	10.462
219342_at	CASD1	CAS1 domain containing 1	-1.62	3.559
219348_at	USE1	unconventional SNARE in the ER 1	1.051	5.673
219349_s_at	EXOC2	exocyst complex component 2	-1.716	4.656
219350_s_at	DIABLO	diablo IAP-binding mitochondrial protein	-1.299	10.043
219356_s_at	CHMP5	charged multivesicular body protein 5	-1.711	6.845
219359_at	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	2.442	3.855
219362_at	NAA35	"N(alpha)-acetyltransferase 35, NatC auxiliary subunit"	-1.392	6.771
219363_s_at	MTERF3	mitochondrial transcription termination factor 3	-1.757	9.566
219374_s_at	ALG9	"ALG9, alpha-1,2-mannosyltransferase"	-1.303	4.796
219376_at	ZNF322	zinc finger protein 322	-2.559	13.079
219379_x_at	ZNF358	zinc finger protein 358	1.709	11.295
219384_s_at	ADAT1	"adenosine deaminase, tRNA specific 1"	-1.353	6.591
219385_at	SLAMF8	SLAM family member 8	-1.989	3.936
