Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Microtubule Bundle Formation (GO:0001578)	1/55	0.027168031335252564	0.039140384127058774	0	0	41.02057613168724	147.90847858667095	PLK1
Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)	1/57	0.028143322503235813	0.03954020516983544	0	0	39.551587301587304	141.21677360109922	PLK1
Regulation of Protein Localization to Nucleus (GO:1900180)	1/57	0.028143322503235813	0.03954020516983544	0	0	39.551587301587304	141.21677360109922	PLK1
Regulation of Mitotic Nuclear Division (GO:0007088)	1/57	0.028143322503235813	0.03954020516983544	0	0	39.551587301587304	141.21677360109922	NUSAP1
Cytoplasmic Microtubule Organization (GO:0031122)	1/59	0.02911773367114391	0.04057389118110217	0	0	38.18390804597701	135.03387352863817	PLK1
Protein Localization to Chromosome (GO:0034502)	1/60	0.02960460947305564	0.04091693992210942	0	0	37.534839924670436	132.1160756075347	PLK1
Metaphase Chromosome Alignment (GO:0051310)	1/62	0.030577701961505156	0.0412556296306022	0	0	36.30054644808743	126.59758326788086	KIF14
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	1/62	0.030577701961505156	0.0412556296306022	0	0	36.30054644808743	126.59758326788086	PLK1
Regulation of SMAD Protein Signal Transduction (GO:0060390)	1/62	0.030577701961505156	0.0412556296306022	0	0	36.30054644808743	126.59758326788086	TTK
Protein Polymerization (GO:0051258)	1/63	0.031063918820932256	0.041581623618570734	0	0	35.71326164874552	123.9860268803296	UBE2C
Protein Autoubiquitination (GO:0051865)	1/66	0.0325212529076381	0.043192289017956846	0	0	34.05982905982906	116.68425597420442	UBE2T
Negative Regulation of Protein-Containing Complex Assembly (GO:0031333)	1/68	0.03349171276321553	0.0441363656569507	0	0	33.039800995024876	112.21827165973407	KIF14
Protein K63-linked Ubiquitination (GO:0070534)	1/72	0.03543000476018619	0.04633154468639733	0	0	31.172143974960875	104.12107765370268	UBE2T
Negative Regulation of Supramolecular Fiber Organization (GO:1902904)	1/74	0.03639783830403355	0.04687600387640684	0	0	30.315068493150687	100.44127619169979	TPX2
Spindle Assembly (GO:0051225)	1/74	0.03639783830403355	0.04687600387640684	0	0	30.315068493150687	100.44127619169979	TPX2
Positive Regulation of Protein Localization to Nucleus (GO:1900182)	1/75	0.0368814272661001	0.04714167394915051	0	0	29.903903903903903	98.68429377205668	PLK1
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)	1/79	0.03881359976770236	0.04924113403365225	0	0	28.364672364672366	92.15638325126109	KIF14
Positive Regulation of Cellular Process (GO:0048522)	2/647	0.03958382616917146	0.049846299620438135	0	0	7.498062015503876	24.21375165614413	KIF14;TTK
Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569)	1/82	0.04026043907859986	0.05032554884824982	0	0	27.310013717421125	87.73030443537515	PLK1
Negative Regulation of Neuron Apoptotic Process (GO:0043524)	1/83	0.040742283114183236	0.050556117732928105	0	0	26.975609756097562	86.33513767066536	KIF14
Regulation of Cell Division (GO:0051302)	1/84	0.04122390942081947	0.05078307682274862	0	0	26.649263721552877	84.97748965941867	PLK1
Pos Reg Transmembrane Rec Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)	1/86	0.0421865092184754	0.05159501127439437	0	0	26.019607843137255	82.36909635390154	TTK
Positive Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)	1/90	0.04410909997700312	0.05356104997207522	0	0	24.845193508114857	77.54406436315156	PLK1
Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)	1/92	0.04506909232552398	0.05433862195275941	0	0	24.296703296703296	75.30905521028181	KIF14
Regulation of Apoptotic Process (GO:0042981)	2/722	0.04832270861728647	0.057851130034779576	0	0	6.690972222222222	20.272666750763722	PLK1;KIF14
Positive Regulation of Proteasomal Protein Catabolic Process (GO:1901800)	1/101	0.04937832948591827	0.058701510577665074	0	0	22.1	66.48218412151981	PLK1
Regulation of Cell Population Proliferation (GO:0042127)	2/777	0.05515434517883104	0.06511276861389775	0	0	6.198387096774193	17.960568857436765	KIF14;TTK
Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434)	1/114	0.055571889296304126	0.06515324951980483	0	0	19.54473942969518	56.48581741086853	PLK1
Positive Regulation of Protein Catabolic Process (GO:0045732)	1/125	0.06078420207477788	0.0707761257035085	0	0	17.801075268817204	49.85058258369441	PLK1
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045)	1/126	0.06125676247542812	0.07084115388314817	0	0	17.657777777777778	49.3125409946923	KIF14
Regulation of Cell Motility (GO:2000145)	1/127	0.06172910888015653	0.0709050574974771	0	0	17.516754850088184	48.78415662492463	KIF14
Golgi Organization (GO:0007030)	1/128	0.062201241380010173	0.07096785929262905	0	0	17.37795275590551	48.26518401321974	PLK1
Regulation of Neuron Apoptotic Process (GO:0043523)	1/133	0.06455869825192352	0.07316652468551332	0	0	16.715488215488215	45.803453495550436	KIF14
Positive Regulation of Protein Localization (GO:1903829)	1/141	0.06831953723801258	0.07691603530107377	0	0	15.753968253968255	42.27671121747236	PLK1
Regulation of Cell Adhesion (GO:0030155)	1/142	0.06878868402799701	0.0769347123997335	0	0	15.641449960598896	41.86771974668722	KIF14
Regulation of Small GTPase Mediated Signal Transduction (GO:0051056)	1/164	0.0790562715258447	0.087840301695383	0	0	13.515337423312884	34.296457835399266	KIF14
Regulation of Cellular Component Organization (GO:0051128)	1/169	0.08137555627963242	0.08983015952946435	0	0	13.109788359788359	32.88826835221049	KIF14
Double-strand Break Repair (GO:0006302)	1/183	0.0878416147770708	0.0963424162071099	0	0	12.092796092796092	29.41233952395038	PLK1
Regulation of Cell Growth (GO:0001558)	1/220	0.10473377232824393	0.11413295702436838	0	0	10.030948756976155	22.633167224683852	KIF14
Modification-dependent Protein Catabolic Process (GO:0019941)	1/224	0.10654298144758934	0.11536501175853622	0	0	9.849028400597907	22.054011304804124	UBE2C
Positive Regulation of Developmental Process (GO:0051094)	1/248	0.11732930726776392	0.12624039389569536	0	0	8.881241565452092	19.030464256693165	CDC20
Phosphorylation (GO:0016310)	1/258	0.12178891326034945	0.13021456134754344	0	0	8.53134457414613	17.962455525511107	PLK1
Protein Phosphorylation (GO:0006468)	1/305	0.1424786469765031	0.15138356241253453	0	0	7.1951754385964914	14.020253618718979	PLK1
Protein Modification by Small Protein Conjugation (GO:0032446)	1/313	0.14595627957059704	0.15411532625466767	0	0	7.0078347578347575	13.486214685083725	UBE2C
Supramolecular Fiber Organization (GO:0097435)	1/318	0.1481233490467241	0.1554380823329821	0	0	6.895548545390817	13.168497411540082	KIF14
DNA Metabolic Process (GO:0006259)	1/336	0.15588388409564177	0.16257828402612945	0	0	6.519071310116086	12.116632004300358	UBE2T
Protein Modification Process (GO:0036211)	1/439	0.19908050753738477	0.20636394073997202	0	0	4.959918822932521	8.005537015361714	PLK1
DNA Damage Response (GO:0006974)	1/464	0.2092603297564428	0.21560155187027438	0	0	4.686105111591073	7.329894110658117	UBE2T
Regulation of Cell Migration (GO:0030334)	1/484	0.2173201805667449	0.22255681142377493	0	0	4.487462617897401	6.849589015382386	KIF14
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1/707	0.30231051864706543	0.30774124652695284	0	0	3.0349386213408875	3.6306988402882787	TTK
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	1/802	0.33592149498540513	0.33992056040189805	0	0	2.6618116243584407	2.903711188019531	PLK1
Negative Regulation of DNA-templated Transcription (GO:0045892)	1/1074	0.42425076000508377	0.42676111953174106	0	0	1.9588899244071658	1.6796121308199985	PLK1
Regulation of Transcription by RNA Polymerase II (GO:0006357)	1/2321	0.7088277829322706	0.7088277829322706	0	0	0.8462643678160919	0.2912356903385413	PLK1
